
#It is in the form of tables
Here is the data for 1 slave ie 2 VMs

Range	                       start time 	     end time	                  Start	          End	    Duration (In Sec)

1987-1987	Fri, 26 Apr 2024 21:29:40 GMT	Fri, 26 Apr 2024 21:30:14 GMT	21:29:40	21:30:14	34
1987-1988	Sun, 28 Apr 2024 02:47:16 GMT	Sun, 28 Apr 2024 02:51:08 GMT	02:47:16	02:51:08	232
1987-1989	Mon, 29 Apr 2024 19:36:29 GMT	Mon, 29 Apr 2024 19:40:22 GMT	19:36:29	19:40:22	233
1987-1990	Mon, 29 Apr 2024 19:36:29 GMT	Mon, 29 Apr 2024 19:40:22 GMT	19:36:29	19:40:22	233
1987-1991	Mon, 29 Apr 2024 19:45:31 GMT	Mon, 29 Apr 2024 19:49:55 GMT	19:45:31	19:49:55	264
1987-1992	Mon, 29 Apr 2024 19:53:16 GMT	Mon, 29 Apr 2024 19:59:11 GMT	19:53:16	19:59:11	355
1987-1993	Sun, 28 Apr 2024 02:53:36 GMT	Sun, 28 Apr 2024 02:59:41 GMT	02:53:36	02:59:41	365
1987-1994	Mon, 29 Apr 2024 20:02:21 GMT	Mon, 29 Apr 2024 20:10:12 GMT	20:02:21	20:10:12	471
1987-1995	Sun, 28 Apr 2024 03:03:04 GMT	Sun, 28 Apr 2024 03:11:37 GMT	03:03:04	03:11:37	513
1987-1996	Sun, 28 Apr 2024 21:30:34 GMT	Sun, 28 Apr 2024 21:40:16 GMT	21:30:34	21:40:16	582
1987-1997	Mon, 29 Apr 2024 20:12:00 GMT	Mon, 29 Apr 2024 20:22:03 GMT	20:12:00	20:22:03	603
1987-1998	Sun, 28 Apr 2024 03:09:44 GMT	Sun, 28 Apr 2024 03:20:57 GMT	03:09:44	03:20:57	673
1987-1999	Sun, 28 Apr 2024 21:44:07 GMT	Sun, 28 Apr 2024 21:55:28 GMT	21:44:07	21:55:28	681
1987-2000	Mon, 29 Apr 2024 20:25:42 GMT	Mon, 29 Apr 2024 20:37:33 GMT	20:25:42	20:37:33	711
1987-2001	Sun, 28 Apr 2024 21:58:13 GMT	Sun, 28 Apr 2024 22:12:20 GMT	21:58:13	22:12:20	847
1987-2002	Mon, 29 Apr 2024 20:40:21 GMT	Mon, 29 Apr 2024 20:54:49 GMT	20:40:21	20:54:49	868
1987-2003	Mon, 29 Apr 2024 23:39:27 GMT	Mon, 29 Apr 2024 23:57:09 GMT	23:39:27	23:57:09	1062
1987-2004	Tue, 30 Apr 2024 00:10:22 GMT	Tue, 30 Apr 2024 00:29:19 GMT	00:10:22	00:29:19	1137
1987-2005	Sun, 28 Apr 2024 22:14:25 GMT	Sun, 28 Apr 2024 22:45:11 GMT	22:14:25	22:45:11	1846
1987-2006	Tue, 30 Apr 2024 00:36:43 GMT	Tue, 30 Apr 2024 01:08:29 GMT	00:36:43	01:08:29	1906
1987-2007	Mon, 29 Apr 2024 21:56:53 GMT	Mon, 29 Apr 2024 22:46:57 GMT	21:56:53	22:46:57	3004
1987-2008	Mon, 29 Apr 2024 20:56:57 GMT	Mon, 29 Apr 2024 21:52:03 GMT	20:56:57	21:52:03	3306

1987	        Sun, 28 Apr 2024 22:32:34 GMT	Sun, 28 Apr 2024 23:40:35 GMT	22:32:34	23:40:35	4081
					
					
					
No of Vms	Duration
				
1 Slave	        2578				
2 Slave	        1893				
3 Slave	        1566				
4 Slave	        1323				
					
